Trdmnt,model,coefficient,lambda,n_stocks
2000-01,M1_beta,intercept,0.0855956486,654
2000-01,M1_beta,beta,0.0513002233,654
2000-01,M2_ln_size,intercept,0.1123773825,872
2000-01,M2_ln_size,ln_size,0.0019551848,872
2000-01,M3_ln_be_me,intercept,0.5853673380,822
2000-01,M3_ln_be_me,ln_be_me,-0.0846490443,822
2000-01,M4_beta_ln_size,intercept,0.1024357303,654
2000-01,M4_beta_ln_size,beta,0.0518044556,654
2000-01,M4_beta_ln_size,ln_size,-0.0011786086,654
2000-01,M5_beta_ln_be_me,intercept,0.5603550211,650
2000-01,M5_beta_ln_be_me,beta,0.0295317180,650
2000-01,M5_beta_ln_be_me,ln_be_me,-0.0863158344,650
2000-01,M6_ln_size_ln_be_me,intercept,0.6442532709,822
2000-01,M6_ln_size_ln_be_me,ln_size,-0.0039237451,822
2000-01,M6_ln_size_ln_be_me,ln_be_me,-0.0848298700,822
2000-01,M7_all3,intercept,0.6493915518,650
2000-01,M7_all3,beta,0.0321232164,650
2000-01,M7_all3,ln_size,-0.0062027930,650
2000-01,M7_all3,ln_be_me,-0.0863737279,650
2000-02,M1_beta,intercept,0.1303049421,654
2000-02,M1_beta,beta,0.0143430063,654
2000-02,M2_ln_size,intercept,0.4600496929,872
2000-02,M2_ln_size,ln_size,-0.0223012603,872
2000-02,M3_ln_be_me,intercept,0.2064993054,822
2000-02,M3_ln_be_me,ln_be_me,-0.0136128201,822
2000-02,M4_beta_ln_size,intercept,0.4415721047,654
2000-02,M4_beta_ln_size,beta,0.0236630886,654
2000-02,M4_beta_ln_size,ln_size,-0.0217850583,654
2000-02,M5_beta_ln_be_me,intercept,0.1970558071,650
2000-02,M5_beta_ln_be_me,beta,0.0118356661,650
2000-02,M5_beta_ln_be_me,ln_be_me,-0.0121981987,650
2000-02,M6_ln_size_ln_be_me,intercept,0.5809736742,822
2000-02,M6_ln_size_ln_be_me,ln_size,-0.0249523427,822
2000-02,M6_ln_size_ln_be_me,ln_be_me,-0.0147627487,822
2000-02,M7_all3,intercept,0.5437859548,650
2000-02,M7_all3,beta,0.0219275984,650
2000-02,M7_all3,ln_size,-0.0241552015,650
2000-02,M7_all3,ln_be_me,-0.0124236503,650
2000-03,M1_beta,intercept,0.1750314740,654
2000-03,M1_beta,beta,-0.0738596617,654
2000-03,M2_ln_size,intercept,1.0175649844,872
2000-03,M2_ln_size,ln_size,-0.0622229246,872
2000-03,M3_ln_be_me,intercept,-0.1307531660,822
2000-03,M3_ln_be_me,ln_be_me,0.0439309325,822
2000-03,M4_beta_ln_size,intercept,1.0453873956,654
2000-03,M4_beta_ln_size,beta,-0.0477991264,654
2000-03,M4_beta_ln_size,ln_size,-0.0609147278,654
2000-03,M5_beta_ln_be_me,intercept,-0.0178921493,650
2000-03,M5_beta_ln_be_me,beta,-0.0641831877,650
2000-03,M5_beta_ln_be_me,ln_be_me,0.0348661528,650
2000-03,M6_ln_size_ln_be_me,intercept,0.7695263989,822
2000-03,M6_ln_size_ln_be_me,ln_size,-0.0599883092,822
2000-03,M6_ln_size_ln_be_me,ln_be_me,0.0411663717,822
2000-03,M7_all3,intercept,0.8403436754,650
2000-03,M7_all3,beta,-0.0392033645,650
2000-03,M7_all3,ln_size,-0.0597896070,650
2000-03,M7_all3,ln_be_me,0.0343081089,650
2000-04,M1_beta,intercept,0.0195314463,654
2000-04,M1_beta,beta,-0.0029920026,654
2000-04,M2_ln_size,intercept,-0.1480962135,872
2000-04,M2_ln_size,ln_size,0.0110229459,872
2000-04,M3_ln_be_me,intercept,-0.0842668751,822
2000-04,M3_ln_be_me,ln_be_me,0.0189478183,822
2000-04,M4_beta_ln_size,intercept,-0.2376389781,654
2000-04,M4_beta_ln_size,beta,-0.0106922994,654
2000-04,M4_beta_ln_size,ln_size,0.0179989198,654
2000-04,M5_beta_ln_be_me,intercept,-0.0964576550,650
2000-04,M5_beta_ln_be_me,beta,0.0020901629,650
2000-04,M5_beta_ln_be_me,ln_be_me,0.0212311569,650
2000-04,M6_ln_size_ln_be_me,intercept,-0.2531813899,822
2000-04,M6_ln_size_ln_be_me,ln_size,0.0112552773,822
2000-04,M6_ln_size_ln_be_me,ln_be_me,0.0194665177,822
2000-04,M7_all3,intercept,-0.3492342164,650
2000-04,M7_all3,beta,-0.0052671550,650
2000-04,M7_all3,ln_size,0.0176098583,650
2000-04,M7_all3,ln_be_me,0.0213955178,650
2000-05,M1_beta,intercept,0.0398300383,652
2000-05,M1_beta,beta,-0.0048180553,652
2000-05,M2_ln_size,intercept,0.3034376626,870
2000-05,M2_ln_size,ln_size,-0.0180901008,870
2000-05,M3_ln_be_me,intercept,-0.1051684625,820
2000-05,M3_ln_be_me,ln_be_me,0.0269656486,820
2000-05,M4_beta_ln_size,intercept,0.2749178580,652
2000-05,M4_beta_ln_size,beta,0.0022486960,652
2000-05,M4_beta_ln_size,ln_size,-0.0164554840,652
2000-05,M5_beta_ln_be_me,intercept,-0.1193655258,648
2000-05,M5_beta_ln_be_me,beta,0.0010793810,648
2000-05,M5_beta_ln_be_me,ln_be_me,0.0293983201,648
2000-05,M6_ln_size_ln_be_me,intercept,0.1797595939,820
2000-05,M6_ln_size_ln_be_me,ln_size,-0.0189651071,820
2000-05,M6_ln_size_ln_be_me,ln_be_me,0.0260331416,820
2000-05,M7_all3,intercept,0.1478106318,648
2000-05,M7_all3,beta,0.0088616089,648
2000-05,M7_all3,ln_size,-0.0185901609,648
2000-05,M7_all3,ln_be_me,0.0291586395,648
2000-06,M1_beta,intercept,0.0531551247,654
2000-06,M1_beta,beta,-0.0339008607,654
2000-06,M2_ln_size,intercept,-0.2910607006,872
2000-06,M2_ln_size,ln_size,0.0211764146,872
2000-06,M3_ln_be_me,intercept,-0.1042917034,822
2000-06,M3_ln_be_me,ln_be_me,0.0239871381,822
2000-06,M4_beta_ln_size,intercept,-0.2509591485,654
2000-06,M4_beta_ln_size,beta,-0.0430067685,654
2000-06,M4_beta_ln_size,ln_size,0.0212844398,654
2000-06,M5_beta_ln_be_me,intercept,-0.0725918933,650
2000-06,M5_beta_ln_be_me,beta,-0.0293995651,650
2000-06,M5_beta_ln_be_me,ln_be_me,0.0232818354,650
2000-06,M6_ln_size_ln_be_me,intercept,-0.4115715000,822
2000-06,M6_ln_size_ln_be_me,ln_size,0.0204749682,822
2000-06,M6_ln_size_ln_be_me,ln_be_me,0.0249307269,822
2000-06,M7_all3,intercept,-0.3575010735,650
2000-06,M7_all3,beta,-0.0376921355,650
2000-06,M7_all3,ln_size,0.0198484000,650
2000-06,M7_all3,ln_be_me,0.0234670896,650
2000-07,M1_beta,intercept,0.0800407480,784
2000-07,M1_beta,beta,-0.0244672795,784
2000-07,M2_ln_size,intercept,0.4794575593,974
2000-07,M2_ln_size,ln_size,-0.0284806968,974
2000-07,M3_ln_be_me,intercept,-0.0686759753,913
2000-07,M3_ln_be_me,ln_be_me,0.0235333068,913
2000-07,M4_beta_ln_size,intercept,0.5534273228,784
2000-07,M4_beta_ln_size,beta,-0.0101132919,784
2000-07,M4_beta_ln_size,ln_size,-0.0326076815,784
2000-07,M5_beta_ln_be_me,intercept,-0.0275911879,772
2000-07,M5_beta_ln_be_me,beta,-0.0195950741,772
2000-07,M5_beta_ln_be_me,ln_be_me,0.0197943623,772
2000-07,M6_ln_size_ln_be_me,intercept,0.3057965637,913
2000-07,M6_ln_size_ln_be_me,ln_size,-0.0256834551,913
2000-07,M6_ln_size_ln_be_me,ln_be_me,0.0256668001,913
2000-07,M7_all3,intercept,0.3777659913,772
2000-07,M7_all3,beta,-0.0058198835,772
2000-07,M7_all3,ln_size,-0.0292536725,772
2000-07,M7_all3,ln_be_me,0.0235429433,772
2000-08,M1_beta,intercept,0.0345350536,784
2000-08,M1_beta,beta,-0.0244276231,784
2000-08,M2_ln_size,intercept,0.5452222779,974
2000-08,M2_ln_size,ln_size,-0.0359500594,974
